Train Results,Validation Results,Test Results
0.8542882204055786,0.8859467506408691,0.8872426152229309
0.8422485589981079,0.8740394115447998,0.8753228783607483
0.8375298976898193,0.8701875805854797,0.8715236186981201
0.8347510099411011,0.8681841492652893,0.8695226311683655
0.8324747681617737,0.8667041063308716,0.8679989576339722
0.8302143216133118,0.8651573061943054,0.8665282726287842
0.8289163112640381,0.8644030690193176,0.8658198714256287
0.8278792500495911,0.8638551831245422,0.8653078079223633
0.8268315196037292,0.8632211089134216,0.8646965622901917
0.826060950756073,0.8628526926040649,0.8643482327461243
0.825380802154541,0.8625085949897766,0.8640343546867371
0.8246399760246277,0.8621909022331238,0.8636317253112793
0.8240576386451721,0.8619078397750854,0.8633038401603699
0.8235698342323303,0.8615678548812866,0.863063395023346
0.8227497339248657,0.8611360192298889,0.8626187443733215
0.8223333954811096,0.8609454035758972,0.8624868988990784
0.821983277797699,0.86085444688797,0.862402081489563
0.8215542435646057,0.8605594038963318,0.8621833920478821
0.8211525678634644,0.860375702381134,0.8619441390037537
0.8208444118499756,0.8601779341697693,0.8618468046188354
